accession,species,n_samples,year,retrieval,verdict,reason_code,reason_source,title,url,annotation_status,n_case,n_control
GSE221957,Rattus norvegicus,16,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Fatty acid binding protein 5 inhibition attenuates pronociceptive cytokine/chemokine expression and suppresses osteoarthritis pain: A comparative human and rat study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221957,no_split,,
GSE222182,Homo sapiens,9,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Single cell RNA-seq data for studying human intervertebral discs and the mechanism of discogenic low back pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222182,no_split,,
GSE224814,Rattus norvegicus,6,2025,original,include,already_in_pooled_analysis,automatic_screen,The PRMT2/FOXA2/miR-323-3p/Kv2.1 signaling axis in sensory neurons controls neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224814,skipped_existing,,
GSE225323,Mus musculus,6,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Oviductal extracellular vesicles from women with endometriosis impair embryo development,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225323,no_split,,
GSE226575,Homo sapiens,9,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,A comprehensive analysis of the mechanism of FOS in the progression of endometrialcyst of ovary to endometriosis-associated ovarian cancer,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226575,no_split,,
GSE226870,Homo sapiens,57,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Transcriptome and DNA methylation analyses highlight the role of menstrual cycle phase in tumorigenesis of endometriosis-related ovarian carcinoma histotypes [RNA-Seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226870,no_split,,
GSE226989,Rattus norvegicus,12,2024,original,pending,usable_pending_file_check,automatic_screen,ALKBH5-mediated m6A modification of 5-HT3A mRNA in primary sensory neurons promotes neuropathic pain behaviors,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226989,no_split,,
GSE227159,Mus musculus,22,2023,original,pending,usable_pending_file_check,automatic_screen,The basolateral amygdala-anterior cingulate pathway contributes to depression-like behaviors and comorbidity with chronic pain behaviors in male mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227159,skipped_existing,,
GSE229750,Homo sapiens,12,2023,amendment_2026_08_28,pending,no_count_matrix_in_supplementary_files,step05_da_2026_08_29,Effect of subcutaneous tocilizumab on gene expression of neutrophils in fibromyalgia patients,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229750,annotated,7.0,5.0
GSE230956,Homo sapiens,16,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Transcriptomic Analyses of Ovarian Clear-Cell Carcinoma with Concurrent Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230956,no_split,,
GSE232713,Homo sapiens,14,2023,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Combined Proteomics and Transcriptomics Identifies Serpin Family C Member 1 Associated Protein as a Biomarker of Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232713,annotated,7.0,7.0
GSE23339,Homo sapiens,19,2011,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Gene expression profiles of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23339,annotated,10.0,9.0
GSE235287,Homo sapiens,6,2025,original,include,already_in_pooled_analysis,automatic_screen,SMN1 orchestrates the global transcriptome profile associated with neuropathic pain development in SHSY5Y cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235287,skipped_existing,,
GSE236592,Rattus norvegicus,18,2026,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Shentong zhuyu decoction treatments regulate expression of inflammatory gene by potentially targeting transcription factors in dorsal root ganglia of rats with neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236592,annotated,6.0,12.0
GSE236754,Mus musculus; Rattus norvegicus,56,2023,original,include,already_in_pooled_analysis,automatic_screen,Conserved transcriptional programming across sex and species after peripheral nerve injury predicts treatments for neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236754,skipped_existing,,
GSE237797,Rattus norvegicus,5,2023,original,pending,usable_pending_file_check,automatic_screen,A phenotypic screening platform for chronic pain therapeutics using all-optical electrophysiology,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237797,no_split,,
GSE237896,Mus musculus,30,2023,original,include,already_in_pooled_analysis,automatic_screen,Tianeptine promotes lasting antiallodynic effects in a mouse model of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237896,skipped_existing,,
GSE238208,Homo sapiens,63,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Th1/17 polarization and potential treatment by an anti-interferon-γ DNA aptamer in Hunner-type interstitial cystitis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238208,no_split,,
GSE240392,Mus musculus,24,2024,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Transcriptomic changes in eutopic endometrium and ectopic lesions in mouse model during progression of endometriosis-related infertility,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240392,annotated,16.0,8.0
GSE241361,Mus musculus,36,2024,original,include,already_in_pooled_analysis,automatic_screen,Sigma-1 Receptors Control Neuropathic Pain and Peripheral Neuroinflammation After Nerve Injury in Female Mice: A Transcriptomic Study,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241361,skipped_existing,,
GSE241751,Homo sapiens,12,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,N-Myc and STAT Interactor Is A Endometriosis Suppressor Gene,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241751,no_split,,
GSE24290,Homo sapiens,35,2010,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Sural nerve of progressive and non-progressive diabetic neuropathy patients,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24290,no_split,,
GSE243039,Homo sapiens,40,2024,amendment_2026_08_28,pending,matrix_columns_absent_from_sample_metadata,step05_contrast_audit_2026_08_29,Impaired bone morphogenetic protein signaling pathways perturb decidualization in patients with endometriosis (Time-course EPC studies),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243039,annotated,20.0,20.0
GSE243157,Homo sapiens,12,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Impaired bone morphogenetic protein signaling pathways perturb decidualization in patients with endometriosis (SMAD1/5 siRNA studies),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243157,no_split,,
GSE243158,Homo sapiens,64,2024,amendment_2026_08_28,exclude,superseries_duplicates_subseries,series_matrix_gsm_overlap,Impaired bone morphogenetic protein signaling pathways perturb decidualization in patients with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243158,annotated,20.0,32.0
GSE244499,Homo sapiens,19,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Cerebrospinal fluid immune cells appear similar across neuropathic and non-neuropathic pain conditions.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244499,no_split,,
GSE244917,Mus musculus,8,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Proenkephalin deletion in hematopoietic cells induces intestinal barrier failure resulting in clinical feature similarities with irritable bowel syndrome in mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244917,no_split,,
GSE245768,Rattus norvegicus,15,2024,original,include,already_in_pooled_analysis,automatic_screen,Study on the Analgesic and Compatibility Mechanism of Yuan-Hu Zhi Tong Prescription for Alleviating CCI-induced Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245768,skipped_existing,,
GSE248593,Homo sapiens,12,2024,amendment_2026_08_28,pending,two_colour_channels_duplicate_each_sample,step05_contrast_audit_2026_08_29,m6A related mRNAs in ovarian-endometriosis control vs normal endometrial tissue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248593,annotated,6.0,6.0
GSE24982,Rattus norvegicus,40,2011,original,include,already_in_pooled_analysis,automatic_screen,mRNA expression profiling in the spinal nerve ligation model of neuropathic pain in rats,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24982,skipped_existing,,
GSE250152,Homo sapiens,33,2024,original,include,already_in_pooled_analysis,automatic_screen,The local molecular signature of human peripheral neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250152,skipped_existing,,
GSE253183,Mus musculus,12,2024,original,pending,case_arm_is_model_plus_analgesic_no_untreated_arm,contrast_audit_2026_08_30,"αO-conotoxin GeXIVA[1,2] reduced neuropathic pain and changed gene expression in chronic oxaliplatin-induced neuropathy mice model",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253183,skipped_existing,,
GSE253345,Mus musculus,9,2024,original,pending,usable_pending_file_check,automatic_screen,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253345,skipped_existing,,
GSE253954,Mus musculus; Macaca mulatta,17,2024,original,pending,usable_pending_file_check,automatic_screen,Conserved dorsal horn neuron subtype-specific enhancers are implicated in the genetic risk of chronic pain.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253954,no_split,,
GSE254360,Mus musculus,15,2025,original,pending,usable_pending_file_check,automatic_screen,Single-nucleus transcriptomic analysis of the amygdala of mice in acute and chronic neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254360,skipped_existing,,
GSE254989,Mus musculus,10,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,"A common allele increases endometrial Wnt4 expression, with antagonistic implications for pregnancy, reproductive cancers, and endometriosis",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254989,no_split,,
GSE255418,Mus musculus,36,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,RNA-sequencing reveals novel molecular mechanisms of endometriosis lesion development in a mouse model,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255418,no_split,,
GSE255553,Mus musculus,8,2024,amendment_2026_08_28,pending,raw_tar_filenames_match_neither_groups_nor_vocabulary,step05_da_2026_08_29,Macrophages protect against sensory axon degeneration in diabetic neuropathy,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255553,annotated,4.0,4.0
GSE25628,Homo sapiens,22,2013,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Endometriosis transcription profiling,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25628,annotated,8.0,14.0
GSE256472,Rattus norvegicus,6,2024,original,include,already_in_pooled_analysis,automatic_screen,RNA Expression Profiling of spinal cord tissues in a Rat Model of Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256472,skipped_existing,,
GSE262037,Homo sapiens,9,2024,amendment_2026_08_28,pending,platform_table_carries_no_symbol_column,step05b_id_mapping_2026_08_29b,"Analysis of lncRNA expression in endometriosis infertility, tubal disease infertility and normal subjects",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262037,annotated,6.0,3.0
GSE262645,Homo sapiens,6,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,mregDCs induce abnormal T cell functions in endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262645,no_split,,
GSE2636,Rattus norvegicus,20,2005,original,include,already_in_pooled_analysis,automatic_screen,DRG from CCI and Seltzer models of neuropathic pain and sham operated animals,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2636,skipped_existing,,
GSE263762,Rattus norvegicus,6,2024,original,pending,usable_pending_file_check,automatic_screen,CircRNA Expression Profiling of the Rat Thalamus In Temporomandibular Joint Chronic Inflammatory Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263762,skipped_existing,,
GSE265957,Mus musculus,96,2024,original,pending,usable_pending_file_check,automatic_screen,Translational control in the spinal cord regulates gene expression and pain hypersensitivity in the chronic phase of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265957,skipped_existing,,
GSE266026,Homo sapiens,7,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Single cell sequencing datasets of tibial nerves from diabetic neuropathy (DPN) patients and traumatic limb amputation (TLA) patients.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266026,no_split,,
GSE266265,Homo sapiens,60,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Endometrial Insights: Unmasking Endometriosis through Single-Cell Profiling and AI-Based Prediction,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266265,no_split,,
GSE266435,Homo sapiens,8,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,To identify the hub gene related to complex regional pain syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266435,no_split,,
GSE267096,Rattus norvegicus,15,2025,original,pending,usable_pending_file_check,automatic_screen,Mitochondrial Transplantation with Vitamin D Therapy Mitigates Paraspinal Muscle Atrophy and Neuropathic Pain Following Spinal Surgery,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267096,skipped_existing,,
GSE267283,Homo sapiens,6,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,miRNA-1229-5p promotes the migration and invasion of endometrial cells by regulating STMN1/EMT in ovarian endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267283,no_split,,
GSE268541,Homo sapiens,6,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,The progression of ovarian endometriosis is facilitated by ASPM through its regulation of the cell cycle and the Wnt/β-catenin pathway,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268541,no_split,,
GSE269047,Homo sapiens,43,2025,amendment_2026_08_28,exclude,herv_array_features_are_not_genes,rescreen_2026_09_12,HERV activation segregates ME/CFS from fibromyalgia while defining a novel nosologic entity,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269047,,,
GSE269530,Homo sapiens,20,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,TGFBI is upregulated in ectopic endometrial stromal cells and under hypoxic conditions in endometriosis.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269530,no_split,,
GSE271395,Mus musculus,6,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,The effect of Stat3 loss on inflammation and endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271395,no_split,,
GSE272517,Mus musculus,8,2025,original,include,already_in_pooled_analysis,automatic_screen,Histone Methyltransferase G9a in Primary Sensory Neurons Promotes Inflammatory Pain and Transcription of Trpa1 and Trpv1 via Bivalent Histone Modifications,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272517,skipped_existing,,
GSE27382,Mus musculus,13,2011,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,"Transcriptional Profiling of Diabetic Neuropathy in BKS-db/db Mouse, a Model for Type 2 Diabetes",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27382,no_split,,
GSE274134,Homo sapiens,12,2024,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Manual therapy improves fibromyalgia symptoms by downregulating SIK1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274134,no_split,,
GSE274685,Mus musculus,6,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Nociceptor to macrophage communication through CGRP/RAMP1 signaling drives endometriosis-associated pain and lesion growth,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274685,no_split,,
GSE276193,Homo sapiens,18,2025,amendment_2026_08_28,include,endometriosis_versus_control_contrast_confirmed_in_series_matrix,manual_review_2026_09_09,Integrative Single-Cell Analysis Reveals Iron Overload-Induced Senescence and Metabolic Reprogramming in Ovarian Endometriosis-Associated Infertility,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276193,annotated,8.0,10.0
GSE277072,Mus musculus,9,2025,original,pending,usable_pending_file_check,automatic_screen,SIRT3 is required for the protective function of ketogenic diet on neural inflammation and neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277072,skipped_existing,,
GSE278227,Rattus norvegicus,62,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Sex-specific molecular and cellular phenotypes during resolution of neuropathic pain in dorsal root ganglia,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278227,no_split,,
GSE278827,Homo sapiens,6,2025,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Ectopic endometrial stromal cell-derived extracellular vesicles encapsulating PKM2 inhibit autophagy inducing endometrial collagen I deposition in endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278827,annotated,3.0,3.0
GSE279835,Homo sapiens,44,2024,amendment_2026_08_28,exclude,no_pain_versus_control_contrast,automatic_screen,miR-193b-5p and miR-374b-5p are aberrantly expressed in endometriosis and suppress endometrial cell migration in vitro,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279835,,,
GSE281569,Homo sapiens,12,2024,amendment_2026_08_28,pending,no_count_matrix_in_supplementary_files,step05_da_2026_08_29,Mechanism of quercetin in the treatment of endometriosis based on network pharmacology and transcriptome sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281569,annotated,6.0,6.0
GSE281916,Homo sapiens,6,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,LINC01638 promotes epithelial-to-mesenchymal transition in endometriosis epithelial cells by upregulating RHOB via HDAC1 suppression,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281916,no_split,,
GSE28242,Homo sapiens,13,2012,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Gene expression analysis of urine sediment: evaluation for potential noninvasive markers of interstitial cystitis/bladder pain syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28242,annotated,8,5
GSE282532,Homo sapiens,10,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Transcriptomic changes in paired eutopic and ectopic endometrium of ovarian endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282532,no_split,,
GSE283177,Mus musculus,6,2024,original,pending,usable_pending_file_check,automatic_screen,A role for fibroblast and mural cell subsets in models of neuropathic pain [scRNA-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283177,skipped_existing,,
GSE283281,Mus musculus,48,2024,original,pending,usable_pending_file_check,automatic_screen,A role for fibroblast and mural cell subsets in models of neuropathic pain [bulkRNA-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283281,skipped_existing,,
GSE283623,Homo sapiens,19,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Molecular insights into the malignant transformation of endometriosis into clear cell carcinoma,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283623,no_split,,
GSE283755,Homo sapiens,8,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Effect of medical treatment on malignant transformation to clear cell carcinoma in endometriosis patients: A comparative study on gene expression using next generation sequencing (NGS),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283755,no_split,,
GSE284362,Homo sapiens,20,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,endometriosis stromal cell with estrogen,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284362,no_split,,
GSE285607,Mus musculus,9,2025,original,pending,usable_pending_file_check,automatic_screen,IL-27-induced shifts in metabolism orchestrate the polarization of alternatively activated macrophages and mitigate inflammatory pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285607,skipped_existing,,
GSE285917,Homo sapiens,122,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Gene expression correlates with disability and pain intensity in patients with chronic low back pain and Modic changes in a sex-specific manner,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285917,no_split,,
GSE286026,Rattus norvegicus,6,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Microbial-derived Hyodeoxycholic Acid Ameliorates Painful Diabetic Neuropathy by Modulating Dorsal Root Ganglion TLR4-Mediated Neuroinflammation Signaling Pathway,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE286026,no_split,,
GSE287284,Mus musculus,6,2025,original,pending,usable_pending_file_check,automatic_screen,Spinal neuronal ferroptosis aggravates peripheral nerve injury-induced neuropathic pain via modulating competing endogenous RNA axis - RNA-Seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287284,skipped_existing,,
GSE2884,Rattus norvegicus,36,2005,original,pending,usable_pending_file_check,automatic_screen,Expression profiling of DRG from L5 spinal nerve ligation model of neuropathic pain in the rat,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2884,skipped_existing,,
GSE289057,Homo sapiens,9,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,JNKinhibitors for the treatment of inflammation and endometriosis [stroma],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289057,no_split,,
GSE289058,Homo sapiens,10,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,JNKinhibitors for the treatment of inflammation and endometriosis [epithelial cells],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289058,no_split,,
GSE289097,Mus musculus,6,2026,original,include,already_in_pooled_analysis,automatic_screen,IRF7 Modulates Inflammatory Pain through upregulating IFNβ in mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289097,skipped_existing,,
GSE289595,Mus musculus,12,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,A preclinical model of irritable bowel syndrome driven by CHRM3 activation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289595,no_split,,
GSE289659,Rattus norvegicus,16,2025,amendment_2026_08_28,pending,raw_tar_filenames_match_neither_groups_nor_vocabulary,step05_da_2026_08_29,Single-nuclei RNA Sequencing Reveals Distinct Transcriptomic Signatures of Rat Dorsal Root Ganglia in a Disc-associated Chronic Low Back Pain Model,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289659,annotated,4.0,12.0
GSE293520,Mus musculus,22,2025,original,pending,usable_pending_file_check,automatic_screen,Analgesia through FKBP51 inhibition at disease onset confers lasting relief from sensory and emotional chronic pain symptoms,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293520,skipped_existing,,
GSE294255,Homo sapiens,8,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,ALDH1A1+ cells are endometrial progenitors contributing to regeneration and endometriosis [Human],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294255,no_split,,
GSE294256,Mus musculus,10,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,ALDH1A1+ cells are endometrial progenitors contributing to regeneration and endometriosis [mouse],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294256,no_split,,
GSE294342,Homo sapiens; Mus musculus,20,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,ALDH1A1+ cells are endometrial progenitors contributing to regeneration and endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294342,no_split,,
GSE294577,Homo sapiens,28,2026,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Ablation of VEGFA following a lumbar intervertebral disc injury attenuates intradiscal neurovascular features and prevents chronic low back pain symptoms,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294577,no_split,,
GSE295758,Homo sapiens,120,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Circadian rhythmicity and biopsychosocial characteristics influence opioid use in chronic low back pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295758,no_split,,
GSE295863,Mus musculus,32,2026,original,include,already_in_pooled_analysis,automatic_screen,Translatome analysis reveals altered spinal astrocyte metabolism in acute and chronic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295863,skipped_existing,,
GSE296259,Mus musculus,6,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Effect of depletion of Dnmt3a on gene expression during the appearance of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296259,no_split,,
GSE296883,Rattus norvegicus,66,2025,amendment_2026_08_28,pending,case_arm_is_six_drug_treatment_groups,step05_contrast_audit_2026_08_29,A Transcriptomics-Based Computational Drug Repositioning Pipeline Identifies Simvastatin And Primaquine As Therapeutics For Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296883,annotated,60.0,6.0
GSE297165,Mus musculus,6,2025,original,pending,usable_pending_file_check,automatic_screen,Sustained neuronal stimulation activates paraventricular thalamus astrocytes for maintenance of chronic neuropathic pain in mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297165,skipped_existing,,
GSE298326,Mus musculus,8,2025,original,pending,usable_pending_file_check,automatic_screen,Macrophages amplify damaged sensory neuron spontaneous activity in a human co-culture model of neuropathic pain [mouse],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE298326,skipped_existing,,
GSE298388,Mus musculus,12,2025,original,pending,usable_pending_file_check,automatic_screen,Modulation of Inflammatory Pain by Myeloid FABP5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE298388,skipped_existing,,
GSE301439,Mus musculus,20,2025,original,include,already_in_pooled_analysis,automatic_screen,Effects of Oxaliplatin on Hematopoietic Pathways with Implications for Chronic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301439,skipped_existing,,
GSE303635,Homo sapiens,20,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Stromal Cells from Endometriosis Patients Reflect Lesion Type-Specific Heterogeneity,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303635,no_split,,
